leading bits the hash:  75
number of hashes     :  37778931862957161709568
hours of work:          749,582
kWatts:                 1,028,426
electricity bill, USD:  49,364
------------ let's have a look at the last 24h: (hash, timestamp, electricity bill for the block)
00000000000000000015c894cf5f0e3b44adeb7bad306b0b46714896bfe83ef9, Tue Dec  5 20:26:31 2017, 49,364
0000000000000000007b2b457cebe54b406e8e24a7a7d443f8771707c4ab65ea, Tue Dec  5 20:22:27 2017, 12,341
0000000000000000004f1afc612af1931a022d08268476663d538510b90f5093, Tue Dec  5 20:09:17 2017, 12,341
0000000000000000000da0c93c405be415cbca2b93900b1f3b12d40b4459b4bf, Tue Dec  5 20:04:15 2017, 98,729
000000000000000000345ebec91bf7c2476445d9fc2e0e7d31cc64acb28bf51b, Tue Dec  5 20:03:27 2017, 24,682
00000000000000000008d7735536a54c9e7bb8804438d9e390578a271957aef0, Tue Dec  5 19:55:42 2017, 98,729
00000000000000000034e15767c3d5a06a6499e7d05d679efc70dd3cb4a4176d, Tue Dec  5 19:55:04 2017, 24,682
00000000000000000048d2807897bbf33fd9bc9b5e45828b2bfc3e2297d3c89f, Tue Dec  5 19:50:07 2017, 12,341
0000000000000000003f055d9d8307b5f01208eadd64183764180bcba1d6ba9c, Tue Dec  5 19:41:23 2017, 24,682
00000000000000000035c01efa2b8e917d3cbd6814bac91aefbbbe3b1545df17, Tue Dec  5 19:36:35 2017, 24,682
000000000000000000af3945641336d8bfce296726e19360502224230d026ea5, Tue Dec  5 19:32:52 2017, 6,171
0000000000000000003d28db7f8a9c496a4e51088b4764ac032988a7c3c4b317, Tue Dec  5 19:30:21 2017, 24,682
0000000000000000008757b28b94407dbff5c601349ddb7ae295fc8fe6100212, Tue Dec  5 19:20:39 2017, 6,171
0000000000000000005ba6561dbc407d30cc61af3823ef24305165604eb7c946, Tue Dec  5 19:19:22 2017, 12,341
0000000000000000009872cddd3f963c17991c768b6c528359c3a99eeb5b1063, Tue Dec  5 19:19:02 2017, 6,171
0000000000000000003537e448dd733842b8898540fca141dfaf8950c8062ec8, Tue Dec  5 18:55:27 2017, 24,682
00000000000000000085cd989d3abb23375a0c66c77704225bb4108183d5a72a, Tue Dec  5 18:51:27 2017, 6,171
000000000000000000c68eb1285c94d4dedd58d02323150034eefc3a7c9c5fc6, Tue Dec  5 18:23:09 2017, 6,171
