leading bits the hash:  76
number of hashes     :  75557863725914323419136
hours of work:          1,499,164
kWatts:                 2,056,853
electricity bill, USD:  98,729
------------ let's have a look at the last 24h: (hash, timestamp, electricity bill for the block)
000000000000000000296fe981462b133a5393dcf26cb4328430bb0ea92839bb, Thu Nov  9 07:52:39 2017, 24,682
000000000000000000912efb957c74ad89c48abab47a7bd2df05d4e6dbe10e27, Thu Nov  9 07:45:33 2017, 6,171
000000000000000000343b8465586c3bdbcedf12e0fe5b1db78710ced880b275, Thu Nov  9 07:44:10 2017, 24,682
000000000000000000a50d604d83e2b8537a101e48554da85773a3212aa8ebdd, Thu Nov  9 07:26:31 2017, 6,171
0000000000000000002ec06a8640d235956d55a51470632f63f1fe7fa0c1bbe9, Thu Nov  9 07:22:46 2017, 24,682
000000000000000000624458331acbb61ea3ab05cf10fe7188fc28fd08079a82, Thu Nov  9 07:09:23 2017, 12,341
000000000000000000af7512f6b489bf6b2dc3b534a21bd70d61bce13be87347, Thu Nov  9 07:05:40 2017, 6,171
000000000000000000374ce03cddf8fb9133b6cd0f7a7b95a82155c399a3e63f, Thu Nov  9 06:48:53 2017, 24,682
00000000000000000020209c193dde728903ae7afb0e0b66f7e86e9f54ee451f, Thu Nov  9 06:47:28 2017, 24,682
0000000000000000003d95cf579cabdce64d982e7839c3b19c127b427b0f4a32, Thu Nov  9 06:43:22 2017, 24,682
0000000000000000001d64f3c4f53b73d17337fe40f220fdb1b38a75158d49df, Thu Nov  9 06:41:56 2017, 49,364
0000000000000000006de106f2cc4f390988aafee610752c866bb7b3f2af27f8, Thu Nov  9 06:35:47 2017, 12,341
00000000000000000000576f7df635200b053e8bdcef5b8550d420cbeb49ea88, Thu Nov  9 06:27:18 2017, 3,159,326
0000000000000000007baba212b3401afb1f36db5302df8857d4b482f4dec0b1, Thu Nov  9 06:13:28 2017, 12,341
00000000000000000073ac6d384844ce6a2dbf4401ce2e7da9d835fb8317ca42, Thu Nov  9 05:56:20 2017, 12,341
000000000000000000350c402c67ec205b539df18b6f69df3ec4e70fc8b0cf30, Thu Nov  9 05:53:28 2017, 24,682
00000000000000000061f2f3bbd5d6295dab0d4ad23507359648c9b531c6268e, Thu Nov  9 05:40:02 2017, 12,341
000000000000000000ba34499e159095a8fbef22171efeb5687086fcab4e0cd5, Thu Nov  9 05:28:24 2017, 6,171
0000000000000000000508aaef9fa2b6a5b548e2bc99a76091e8e5494867f562, Thu Nov  9 05:03:35 2017, 197,458
000000000000000000a0c6b22d6b114ad7a15b09f39d0aabbd4ef0a39e5b23f8, Thu Nov  9 04:40:19 2017, 6,171
0000000000000000008fa685f5aadd7eef4f2dda0d0ced982a4977e37c73eadd, Thu Nov  9 04:02:08 2017, 6,171
000000000000000000855192601f53311b25fa212cb4ef775fded9b3ec7875cc, Thu Nov  9 03:39:23 2017, 6,171
0000000000000000008140b2d558cdcd6c31e29e9cb39d75de3a2834470fcf8c, Thu Nov  9 03:25:00 2017, 6,171
0000000000000000000cc98994c979f802e047d7edd4b2fb3851a4765d03ce6a, Thu Nov  9 03:24:06 2017, 98,729
0000000000000000004990e07f97c9de130ad9b8fb37e4dc01697c5f3d66ad09, Thu Nov  9 03:23:21 2017, 12,341
000000000000000000733f8c4b625f5d8d2c2a233711e1468a38ee61a95c8d37, Thu Nov  9 03:21:41 2017, 12,341
000000000000000000759f0abde2b979be932c8e0e04b53208cf22c0b652f3ec, Thu Nov  9 03:06:03 2017, 12,341
0000000000000000009e6bedd0e56953b44574ac4d202974886f27e0b1ff9db0, Thu Nov  9 03:06:06 2017, 6,171
0000000000000000000a3a2d82976176c242bfc8d2b0586f565f5d99b7c09da3, Thu Nov  9 02:58:40 2017, 98,729
0000000000000000007ced67c939ee0401dc514f361fc8657cf4d6b9928a3902, Thu Nov  9 02:30:18 2017, 12,341
000000000000000000278993ea551e2688171069643bda1e0b9b8c9d17d97b6f, Thu Nov  9 02:27:23 2017, 24,682
000000000000000000623d9058fa9658d7716a5ac4645043260670a7085ddbe8, Thu Nov  9 02:21:44 2017, 12,341
00000000000000000012f674c9a99e87588db383748acadb5d65f96316513a5c, Thu Nov  9 02:02:53 2017, 49,364
00000000000000000093ed958fcdee0e7025d7b8d8f15fed221e4c4da32d0369, Thu Nov  9 01:51:00 2017, 6,171
00000000000000000086001eaee2cba67a4d194af1edb5ea514acd6d5e567eef, Thu Nov  9 01:44:09 2017, 6,171
000000000000000000bd7adc217677a7f2de6a6bdfce53bff1915c9b1f459ee0, Thu Nov  9 01:41:28 2017, 6,171
0000000000000000009e28771dea0947d514bb82666dbdce8c2b1b5181bb8dea, Thu Nov  9 01:24:00 2017, 6,171
000000000000000000b8a51efd70e4403a134907fb615a7de7b55ae88aba90ff, Thu Nov  9 01:12:03 2017, 6,171
000000000000000000abe95112c09607a4b229e60b096ecfef6febd8e7654fe3, Thu Nov  9 01:05:55 2017, 6,171
0000000000000000007aadfdbadde6318278b85c24c0bf2906fddcc665c899ef, Thu Nov  9 00:55:38 2017, 12,341
0000000000000000006213ebb83614c93d48698ea46733a87ae484c42cf730f7, Thu Nov  9 00:54:38 2017, 12,341
00000000000000000063382d46d086ce0a31715e53646f086269902fd0c082b2, Thu Nov  9 00:20:48 2017, 12,341
0000000000000000002d1304785a9dc0904353f005082f2470a169720c1f6079, Thu Nov  9 00:18:17 2017, 24,682
0000000000000000000379c683f21cdb18210b890ecfc74ff03ff6288e927611, Thu Nov  9 00:18:31 2017, 394,916
0000000000000000002bb9400f45c6fa6cb9526e652a9b90e2f357e1268110e5, Wed Nov  8 23:46:03 2017, 24,682
000000000000000000a933b50c4c491a7418b6c6ac33dcaf2245505d58c6a005, Wed Nov  8 23:27:59 2017, 6,171
000000000000000000b3bf4f293b1d358e1cd2ab17482dc6eed204e17cd9953f, Wed Nov  8 23:25:46 2017, 6,171
0000000000000000008d0cb975df9e649c5047fbb59e7efd0e47918f47ffc808, Wed Nov  8 22:50:46 2017, 6,171
0000000000000000004d4aa538d40ca6e3e2928d98159b2d031dbb47d0892e9d, Wed Nov  8 22:41:48 2017, 12,341
000000000000000000586055a4b811908346dc929aba295189c2e6dfc25dc748, Wed Nov  8 22:34:59 2017, 12,341
0000000000000000003bc5cc61ffa5181fa2cb45332a156b1f17b46d7a91e552, Wed Nov  8 22:18:33 2017, 24,682
0000000000000000003e71811016751ea6b6d828734b22d65fcefff43cafa0a0, Wed Nov  8 22:13:53 2017, 24,682
00000000000000000063f770ed434d1d3855658bb514e692ef92e13d5f820cda, Wed Nov  8 22:09:35 2017, 12,341
00000000000000000000f52acbfc19613985e650afbb17f27ab3d524eb25468b, Wed Nov  8 22:05:14 2017, 1,579,663
0000000000000000003186f6089b4b5b890c11df1f7fce64ec5f26ad43592f16, Wed Nov  8 21:56:08 2017, 24,682
00000000000000000077b6d24c51c9f19139abc1b80d31626598f67c7631f7b9, Wed Nov  8 21:40:12 2017, 12,341
00000000000000000015abd52b6de6aa8f32f1e15b53f7e99d535b74989dc98f, Wed Nov  8 21:33:20 2017, 49,364
000000000000000000012dd8879d2006c07bdabbafbb1c00ee8405eadafcb666, Wed Nov  8 21:24:35 2017, 789,832
0000000000000000009a0eebf67aeae3ddaed04cb10308497d0ccd3cda8b9df8, Wed Nov  8 21:21:12 2017, 6,171
0000000000000000001196f5816e1c07d6ff84dec30b13af394fb0307d128a8f, Wed Nov  8 21:10:58 2017, 49,364
000000000000000000b7a68731bf3cd4635b6db27abc0aae3b92e2c6a15f05e3, Wed Nov  8 21:02:24 2017, 6,171
000000000000000000ae7177961596f9a991aee0d959f5455b0796d2d9686dd4, Wed Nov  8 21:00:59 2017, 6,171
000000000000000000c0a2fe1505f9da405d62e289aa2b49d1ae82233905f5ff, Wed Nov  8 20:38:10 2017, 6,171
0000000000000000008795b13e8b0f36c17e4067fad756e3768cbd9574f15d2e, Wed Nov  8 20:35:13 2017, 6,171
0000000000000000009a5890a17e62d5960436ac70b9b92e6af6b79831a804ba, Wed Nov  8 19:52:39 2017, 6,171
000000000000000000858e4a521e60cabb0213c7ef5c00e27334edb1fc63ac29, Wed Nov  8 19:51:57 2017, 6,171
00000000000000000054595b774f120ee34d7c7e96285755202bc8a1f8f308f4, Wed Nov  8 19:49:49 2017, 12,341
000000000000000000641922ee7e14be60f504ffb6ffe438f0b82f4d9522f022, Wed Nov  8 19:28:50 2017, 12,341
00000000000000000057875b9190d9c8c6d192eb18265c8072922e292343db09, Wed Nov  8 19:14:45 2017, 12,341
0000000000000000005d0c1fcdfeb6e24a8f60a5bd2c4814669102cdfefb0127, Wed Nov  8 18:58:37 2017, 12,341
00000000000000000005ddaf50992b71a8a71e458ab83dd18634b57b62b4bb32, Wed Nov  8 18:52:19 2017, 197,458
000000000000000000be742f8dbc3da4b9b488efdbd1b65c95b3c604fdd5c062, Wed Nov  8 18:51:38 2017, 6,171
0000000000000000003f779e0c3dbb357739175617602b1c23ffbed8b982eb20, Wed Nov  8 18:48:44 2017, 24,682
00000000000000000029eb8863f2e8d8965677d6fde203422b785124135970fa, Wed Nov  8 18:25:40 2017, 24,682
00000000000000000034e9cb4e539bfe80e5375caa1fcc2028a12a36b692d746, Wed Nov  8 18:03:18 2017, 24,682
000000000000000000316d7db7c5fd17ce8bda230e2596702fb5b63c4ca3b4e6, Wed Nov  8 17:50:00 2017, 24,682
000000000000000000b4822e2d070af9d1f37aacbe890ece8ae3df681d8385b0, Wed Nov  8 17:43:37 2017, 6,171
0000000000000000002857ba4d8556d9764e3afb32a1da1e0f137bad4e75d48e, Wed Nov  8 17:39:02 2017, 24,682
000000000000000000ad5928bf0bb3309f00a3e95a46ff000e0d0168cb510401, Wed Nov  8 17:30:38 2017, 6,171
000000000000000000a1e47b16cbb8f93b1b4a97619a016ef8590766465555ad, Wed Nov  8 17:26:03 2017, 6,171
000000000000000000440f84ff6f8eb192dcefd6ca1358de42ea363f90359cd3, Wed Nov  8 17:23:02 2017, 12,341
0000000000000000002c31e36522a472902872e4b85130ac30ef3dfbfd751291, Wed Nov  8 17:21:00 2017, 24,682
0000000000000000007d3f8b7684ed2fd2071ccb344bb7da175facfc4d0722d0, Wed Nov  8 17:08:20 2017, 12,341
0000000000000000002356735ef42c66ac1827b0dfb70cf9c7a29b6131e06f48, Wed Nov  8 17:00:18 2017, 24,682
0000000000000000007123918f0f9d00db44243fddf6b20838d126d6239422fc, Wed Nov  8 16:42:24 2017, 12,341
000000000000000000657f34e3f277f21af226c3fcf4c5f3003c2a31e440418c, Wed Nov  8 16:39:19 2017, 12,341
000000000000000000a07e8ec400e8a29438b044c8cdada9f40cba368ef8919d, Wed Nov  8 16:25:15 2017, 6,171
00000000000000000051ff17e1a3798918dc8475f95f9ec9369b32b3dc3c5186, Wed Nov  8 15:48:35 2017, 12,341
000000000000000000bfd47aa9da91b5f00b9983f6d4e46642efd165ef865231, Wed Nov  8 15:45:15 2017, 6,171
000000000000000000b0a2882f4267654955a867b41ab4fa85d4792adbbe18e2, Wed Nov  8 15:42:31 2017, 6,171
0000000000000000000feb6b7b4c43de28229e0ca3c56d75e4dce58f5cab0c1d, Wed Nov  8 15:38:34 2017, 98,729
0000000000000000005fa464dcfa2861c5f66a64aacd4423cb590262190c68d6, Wed Nov  8 15:22:28 2017, 12,341
0000000000000000005eb13f36f67d27955a9bcdf11df2c870d43e7a527a1950, Wed Nov  8 15:11:39 2017, 12,341
00000000000000000064718f90fb90691d2d142918088142fb8f6244ca4ef401, Wed Nov  8 14:58:57 2017, 12,341
000000000000000000223f242d4df5301af45f8c4615b3f56ba47107021c6805, Wed Nov  8 14:53:46 2017, 24,682
000000000000000000bf0998ce90201f4d6bad922767a4688c872394da628b36, Wed Nov  8 14:45:44 2017, 6,171
0000000000000000004761f6a803b2df06485c85b8da4dfceb28b452656af6b4, Wed Nov  8 14:36:10 2017, 12,341
00000000000000000088f3281aade4b73bae3118d049456e5e01b1ca9c65a439, Wed Nov  8 14:28:15 2017, 6,171
000000000000000000ab7229619d42beeadb5e684d012de6dc975779b9a9325f, Wed Nov  8 14:28:10 2017, 6,171
00000000000000000093bbed8939d804bfcfce2a56c4a30a263452606548ee6a, Wed Nov  8 14:14:14 2017, 6,171
000000000000000000b8018735234069e91e906b506ff2aad68a7a8479013b60, Wed Nov  8 14:09:28 2017, 6,171
0000000000000000004ca95fe030832082a10e961c1bc767e3617e5c3dc73b9d, Wed Nov  8 14:01:27 2017, 12,341
00000000000000000000533acfc990ded9a48a32cf8ad05c516749e0a2488aa7, Wed Nov  8 13:48:44 2017, 3,159,326
000000000000000000748d1d21ad9c848c3789831168598bd5ca4d9314cd64f3, Wed Nov  8 13:40:25 2017, 12,341
000000000000000000addde05e4814365c2376109cc233038998b8e805897118, Wed Nov  8 13:14:49 2017, 6,171
0000000000000000004415f20a30bac94a2aa852112f7c5972025380b495a279, Wed Nov  8 13:14:35 2017, 12,341
0000000000000000002fbd13d83f8bb6d0ec94708ac7975943cf3c0321db2359, Wed Nov  8 13:01:30 2017, 24,682
000000000000000000687ca0123b1681a72f336bc5334291edbeb2891e4cf728, Wed Nov  8 12:50:27 2017, 12,341
00000000000000000036a5d947efebe8567b098cbb82451ad9397f0f4d2e701f, Wed Nov  8 12:36:55 2017, 24,682
000000000000000000064499be986f7156d93fd6ac2d718e0ecbc5e1332e7758, Wed Nov  8 12:35:55 2017, 197,458
000000000000000000bb96e04462e40cb20df908ff7a9b297179a718ca43a416, Wed Nov  8 12:33:32 2017, 6,171
0000000000000000004d5a8347de8ef6ee25dbafd738aceabf19d5de6dbacd2e, Wed Nov  8 12:32:24 2017, 12,341
0000000000000000005fe4ab9d5bffed1b7081b54a06450c525811f8aae8504d, Wed Nov  8 12:22:57 2017, 12,341
000000000000000000620287ec61bab08c8fd5346955f8bab1c994b7bc723d06, Wed Nov  8 12:20:33 2017, 12,341
0000000000000000000fa24f7f02a86de3a8a2e18c9a382f593337da9cc8406d, Wed Nov  8 12:01:34 2017, 98,729
000000000000000000767e88a140393a274ae04546ff5d26c37c4b2c7a8de484, Wed Nov  8 11:52:50 2017, 12,341
000000000000000000b131c090f52e0ba24a472db9e79600323d945e97732013, Wed Nov  8 11:31:23 2017, 6,171
000000000000000000373510fe579b16f05137418a7c33a5616a30f1f49dc92b, Wed Nov  8 11:29:53 2017, 24,682
total electricity bill for 24h, USD:  12,452,188
