downloading https://blockchain.info/blocks/?format=json
LB = number of leading bits; PRICE = estimated price to mine the block
hash                                                             LB     PRICE timestamp
0000000000000000001a2e283f5671687d9577d398777ea21af6b05d6be52657 75    49,364 Wed Jul  4 09:04:32 2018
0000000000000000002a474b35e7c0445b27e4bf1394fca235560e6512b8bbfa 74    24,682 Wed Jul  4 09:02:15 2018
000000000000000000199cff3e8ca21dc8077d16502865a372b68dde6eab6c58 75    49,364 Wed Jul  4 08:57:05 2018
000000000000000000298b4e06a1ba7fa9ed99845285dd1d28f28efd4cdca841 74    24,682 Wed Jul  4 08:56:42 2018
00000000000000000010b545a9081df8c77d2fb2f76c85d6667a74b0d027db96 75    49,364 Wed Jul  4 08:40:59 2018
000000000000000000065d4d6797c2506f5e68c148320f14a33c2e7083404f72 77   197,458 Wed Jul  4 08:38:49 2018
00000000000000000006de5c034eb0bfd67c3d8864f1e449b547b8bd12e5d84e 77   197,458 Wed Jul  4 08:34:32 2018
00000000000000000015e4aab8477bb4783cac3866a38c89d242a9d6294fa9da 75    49,364 Wed Jul  4 08:00:12 2018
0000000000000000000510f8921694e73b5214d83c94465b47a499befd98a449 77   197,458 Wed Jul  4 07:43:48 2018
0000000000000000000c6317a8f96dd060906b7557756e895cf3012947d16b91 76    98,729 Wed Jul  4 07:42:26 2018
0000000000000000000a7a75f222bb1334f6a6c8140057802e599f9adaa35bf6 76    98,729 Wed Jul  4 07:38:42 2018
0000000000000000002a16b0b266d1d568516acb337acdfd6dec1dddce9e07b5 74    24,682 Wed Jul  4 07:14:04 2018
00000000000000000000bc5f3d29fc442e5e6a97095350b0c393efe3bb43558f 80 1,579,663 Wed Jul  4 07:01:26 2018
000000000000000000248aac5412486ba96acec89b81ccd1b6392041334fc8c6 74    24,682 Wed Jul  4 06:49:30 2018
00000000000000000033b618676b7e82c626398bace08466fd922436f39a0049 74    24,682 Wed Jul  4 06:45:33 2018
000000000000000000000d15abec6c3b9d029c37ab5d68b551067aafb9736dc6 84 25,274,609 Wed Jul  4 06:39:35 2018
00000000000000000032765ef2d386eb4f25ac622f70bf31c0c11b6c52197f7a 74    24,682 Wed Jul  4 06:25:19 2018
00000000000000000013bc1cab1763b7bec65100ae1a0142918951195edc4ad0 75    49,364 Wed Jul  4 06:15:30 2018
000000000000000000338891abcdda9e7ebc058217c1bce5ab8964ba38d6429f 74    24,682 Wed Jul  4 06:14:00 2018
0000000000000000001b8f1aa99900e109cfd94676af05a6bc1aa64da80a50a4 75    49,364 Wed Jul  4 06:08:06 2018
000000000000000000285c9e7bc8a0db0b08b04462178338e5f7476db0f91cb9 74    24,682 Wed Jul  4 06:04:13 2018
0000000000000000000d6e9a06b572f1a9d765bc75bc9e3add8865595d40e1a8 76    98,729 Wed Jul  4 05:59:45 2018
0000000000000000001add5c0da07ac67536318a8e14b23c7e5fe37320a5f73d 75    49,364 Wed Jul  4 05:19:41 2018
000000000000000000332f4032babc1a239afd57195320a3d4ee05c794506f91 74    24,682 Wed Jul  4 05:16:42 2018
00000000000000000005fc17f8c7e88e803a117f318ca3df207d636df08a000d 77   197,458 Wed Jul  4 05:05:46 2018
00000000000000000008addcac3f35b9829473e8347925370dacc8047235358a 76    98,729 Wed Jul  4 05:04:39 2018
00000000000000000002cc54fc9c6cb63e6979e72ac85f8c86e4c86f9ee19e3f 78   394,916 Wed Jul  4 05:02:39 2018
00000000000000000032d49ad89a7d8cb59b8ffd13e4c5b7f5747b9070ecaf07 74    24,682 Wed Jul  4 04:26:22 2018
000000000000000000220da98e1a7784e6b3a421e5e21d0c17bda142e23f542d 74    24,682 Wed Jul  4 04:14:56 2018
0000000000000000001f8535f6b02c29201ca9318dffa9e8f48c3a89ef821baf 75    49,364 Wed Jul  4 03:59:37 2018
